PERSONNEL

DEPARTMENT|COUNT|LOCATION|STRATEGIC_IMPORTANCE

HUMAN_RESOURCES|200|LONDON|3
HUMAN_RESOURCES|200|BOURNEMOUTH|3
HUMAN_RESOURCES|100|NEW_YORK|3
HUMAN_RESOURCES|50|AMSTERDAM|3
HUMAN_RESOURCES|20|REYKJAVIK|3
HUMAN_RESOURCES|50|OSLO|3
HUMAN_RESOURCES|100|NEW_YORK|3
HUMAN_RESOURCES|20|SEATTLE|3

BUSINESS_OPERATIONS|3500|LONDON|3
BUSINESS_OPERATIONS|1000|BOURNEMOUTH|1
BUSINESS_OPERATIONS|3500|NEW_YORK|3
BUSINESS_OPERATIONS|100|AMSTERDAM|1
BUSINESS_OPERATIONS|10|REYKJAVIK|3
BUSINESS_OPERATIONS|10|OSLO|3
BUSINESS_OPERATIONS|10|SEATTLE|3

TECHNOLOGY|300|LONDON|2
TECHNOLOGY|4800|BOURNEMOUTH|3
TECHNOLOGY|300|NEW_YORK|1
TECHNOLOGY|350|AMSTERDAM|3
TECHNOLOGY|170|REYKJAVIK|3
TECHNOLOGY|350|OSLO|3
TECHNOLOGY|350|SEATTLE|3
